PlayerName,Matches,Innings,NotOut,Runs,HighestScore,Average,Centuries,HalfCenturies,Ducks,Country,FirstMatch,LastMatch,CenturyConversion,DuckPercentage,NotOutPercentage,FiftyPlusScorePercentage,CareerLength,MatchesPerYear,CurrentPlayer
KS More,49,64,14,1285,73,25.7,0,7,7,IND,1986,1993,0.0,0.1094,0.2188,0.1094,7,7.0,0
JW Burke,24,44,7,1280,189,34.59,3,5,0,AUS,1951,1959,0.375,0.0,0.1591,0.1818,8,3.0,0
A Shrewsbury snr,23,40,4,1277,164,35.47,3,4,1,ENG,1881,1893,0.4286,0.025,0.1,0.175,12,1.92,0
UC Hathurusingha,26,44,1,1274,83,29.62,0,8,2,SL,1991,1999,0.0,0.0455,0.0227,0.1818,8,3.25,0
JD Ryder,18,33,2,1269,201,40.93,3,6,4,NZ,2008,2011,0.3333,0.1212,0.0606,0.2727,3,6.0,0
Shahriar Nafees,24,48,0,1267,138,26.39,1,7,4,BAN,2005,2013,0.125,0.0833,0.0,0.1667,8,3.0,0
V Pollard,32,59,7,1266,116,24.34,2,7,4,NZ,1965,1973,0.2222,0.0678,0.1186,0.1525,8,4.0,0
RF Surti,26,48,4,1263,99,28.7,0,9,5,IND,1960,1969,0.0,0.1042,0.0833,0.1875,9,2.89,0
M Muralitharan,133,164,56,1261,67,11.67,0,1,33,SL,1992,2010,0.0,0.2012,0.3415,0.0061,18,7.39,0
MR Marsh,32,55,5,1260,181,25.2,2,3,6,AUS,2014,2019,0.4,0.1091,0.0909,0.0909,5,6.4,1
DW Steyn,93,119,27,1251,76,13.59,0,2,14,SA,2004,2019,0.0,0.1176,0.2269,0.0168,15,6.2,1
GE Gomez,29,46,5,1243,101,30.31,1,8,5,WI,1939,1954,0.1111,0.1087,0.1087,0.1957,15,1.93,0
HB Cameron,26,45,4,1239,90,30.21,0,10,3,SA,1927,1935,0.0,0.0667,0.0889,0.2222,8,3.25,0
G Giffen,31,53,0,1238,161,23.35,1,6,5,AUS,1881,1896,0.1429,0.0943,0.0,0.1321,15,2.07,0
WP Saha,37,50,9,1238,117,30.19,3,5,6,IND,2010,2019,0.375,0.12,0.18,0.16,9,4.11,1
Z Khan,92,127,24,1231,75,11.95,0,3,29,IND,2000,2014,0.0,0.2283,0.189,0.0236,14,6.57,0
DG Phadkar,31,45,7,1229,123,32.34,2,8,3,IND,1947,1959,0.2,0.0667,0.1556,0.2222,12,2.58,0
DD Ebrahim,29,55,1,1225,94,22.68,0,10,8,ZIM,2001,2005,0.0,0.1455,0.0182,0.1818,4,7.25,0
