PlayerName,Matches,Innings,NotOut,Runs,HighestScore,Average,Centuries,HalfCenturies,Ducks,Country,FirstMatch,LastMatch,CenturyConversion,DuckPercentage,NotOutPercentage,FiftyPlusScorePercentage,CareerLength,MatchesPerYear,CurrentPlayer
GJ Crocker,3,4,1,69,33,23.0,0,0,0,ZIM,1992,1992,0.0,0.0,0.25,0.0,1,3.0,0
DK Liyanage,9,9,0,69,23,7.66,0,0,1,SL,1992,2001,0.0,0.1111,0.0,0.0,9,1.0,0
Mohammad Shahzad,2,4,0,69,40,17.25,0,0,0,AFG,2018,2019,0.0,0.0,0.0,0.0,1,2.0,0
AC Waller,2,3,0,69,50,23.0,0,1,0,ZIM,1996,1996,0.0,0.0,0.0,0.3333,1,2.0,0
JP Greaves,2,4,0,68,33,17.0,0,0,0,WI,2024,2024,0.0,0.0,0.0,0.0,1,2.0,1
T Maruma,4,7,0,68,41,9.71,0,0,3,ZIM,2013,2021,0.0,0.4286,0.0,0.0,8,0.5,0
JT Ball,4,8,0,67,31,8.37,0,0,1,ENG,2016,2017,0.0,0.125,0.0,0.0,1,4.0,0
WD Parnell,6,4,0,67,23,16.75,0,0,0,SA,2010,2017,0.0,0.0,0.0,0.0,7,0.86,0
MW Pringle,4,6,2,67,33,16.75,0,0,0,SA,1992,1995,0.0,0.0,0.3333,0.0,3,1.33,0
CP Schofield,2,3,0,67,57,22.33,0,1,1,ENG,2000,2000,0.0,0.3333,0.0,0.3333,1,2.0,0
PM Such,11,16,5,67,14,6.09,0,0,3,ENG,1993,1999,0.0,0.1875,0.3125,0.0,6,1.83,0
SW Billings,3,3,0,66,36,22.0,0,0,0,ENG,2022,2022,0.0,0.0,0.0,0.0,1,3.0,0
N Brand,2,4,0,66,34,16.5,0,0,0,SA,2024,2024,0.0,0.0,0.0,0.0,1,2.0,1
G Coetzee,3,5,1,66,20,16.5,0,0,0,SA,2023,2023,0.0,0.0,0.2,0.0,1,3.0,0
TK Curran,2,3,1,66,39,33.0,0,0,0,ENG,2017,2018,0.0,0.0,0.3333,0.0,1,2.0,0
M Hayward,16,17,8,66,14,7.33,0,0,3,SA,1999,2004,0.0,0.1765,0.4706,0.0,5,3.2,0
